id	nm	countryCode	postalCode
537235	Ladozhskaya	RU	-
540761	Kropotkin	RU	-
527968	Medvedovskaya	RU	-
554173	Kalininskaya	RU	-
551669	Kavkazskaya	RU	-
544896	Korenovsk	RU	-
470338	Vyselki	RU	-
482965	Timashevsk	RU	-
709334	Dzhankoy	UA	-
542334	Krasnogvardeyskoye	RU	356031
556170	Irkliyevskaya	RU	-
512533	Parkovyy	RU	-
518249	Novorozhdestvenskaya	RU	-
483029	Tikhoretsk	RU	-
483326	Ternevskaya	RU	-
518325	Novopokrovskaya	RU	-
540055	Kubanskiy	RU	-
704362	Krasnoperekopsk	UA	-
488758	Staroleushkovskaya	RU	-
578169	Belaya Glina	RU	-
512051	Pavlovskaya	RU	-
712160	Bilhorod-Dnistrovskyy	UA	-
510613	Peschanokopskoye	RU	-
699706	Novooleksiyivka	UA	-
697957	Partyzany	UA	-
698740	Odessa	UA	-
2020689	Luchegorsk	RU	-
499161	Salsk	RU	-
488742	Starominskaya	RU	-
708632	Hola Prystan	UA	-
538416	Kushchevskaya	RU	-
553159	Kanelovskaya	RU	-
565456	Dolzhanskaya	RU	-
713743	Yakymivka	UA	-
504831	Proletarsk	RU	-
466885	Yeysk	RU	-
712451	Berdyansk	UA	-
701404	Melitopol	UA	-
514796	Orlovskiy	RU	-
499055	Samarskoye	RU	-
699657	Novobohdanivka	UA	-
462522	Zimovniki	RU	-
583673	Aksay	RU	346720
501175	Rostov-na-Donu	RU	-
691469	Tokmak	UA	-
505256	Primorka	RU	-
579771	Bagayevskaya	RU	-
564593	Dubovskoye	RU	-
558384	Grushevskaya	RU	-
686729	Vasylivka	UA	-
2013229	Vyazemskiy	RU	-
543728	Kotelnikovo	RU	-
707898	Hulyaypole	UA	-
528242	Mayskiy	RU	346537
703555	Kushuhum	UA	-
580139	Ayutinskiy	RU	-
499535	Sadovoye	RU	359410
703845	Kryvyy Rih	UA	-
546579	Koksovyy	RU	-
578155	Belaya Kalitva	RU	-
525162	Morozovsk	RU	-
489062	Staraya Stanitsa	RU	347809
464130	Masalovka	RU	-
706244	Khotyn	UA	-
561146	Glubokiy	RU	347858
705392	Kolomyya	UA	-
701091	Mynay	UA	-
552999	Kapustin Yar	RU	-
701405	Meliorativnoye	UA	-
699445	Novomoskovsk	UA	-
2016412	Smidovich	RU	-
690548	Uzhhorod	UA	-
486071	Surovikino	RU	-
687826	Zalishchyky	UA	-
542213	Krasnoslobodsk	RU	404160
489446	Srednyaya Akhtuba	RU	-
706950	Kamieniec Podolski	UA	-
536156	Leninsk	RU	-
484396	Tarasovskiy	RU	-
2026643	Birobidzhan	RU	-
1275339	Mumbai	IN	-
689304	Vovchansk	UA	-
487928	Staryy Oskol	RU	-
472045	Voronezh	RU	-
483541	Terbuny	RU	-
575343	Bolokhovo	RU	-
484287	Tarusa	RU	-
540771	Kronshtadt	RU	-
535544	Levashovo	RU	-
1252797	Yamunanagar	IN	-
533543	Lukhovitsy	RU	-
506782	Polyany	RU	-
490846	Solotcha	RU	-
514042	Ostrovtsy	RU	-
482260	Tomilino	RU	-
532615	Lyubertsy	RU	-
515698	Olenegorsk	RU	-
533933	Lovozero	RU	-
2609894	Yantarnyy	RU	-
2023469	Irkutsk	RU	-
1283018	Nagarkot	NP	-
1175712	Jiwani	PK	-
556283	Inza	RU	-
473994	Veshkayma	RU	-
526354	Mirnyy	RU	433405
566199	Dimitrovgrad	RU	-
479561	Ufa	RU	-
479198	Ulu-Telyak	RU	-
478071	Ust-Katav	RU	-
1495022	Petukhovo	RU	-
1520172	Petropavlovsk	KZ	-
1522203	Kokshetau	KZ	-
1519244	Shchuchinsk	KZ	-
1520844	Moyynty	KZ	-
1519563	Saryshaghan	KZ	-
1519030	Shu	KZ	-
1524958	Burunday	KZ	-
1526384	Almaty	KZ	-
525719	Mokrous	RU	-
504000	Pushkino	RU	-
505057	Privolzhskiy	RU	413123
527034	Mikhaylov	RU	-
1267154	Khajuraho	IN	-
1274369	Chhala	IN	-
1279233	Ahmadabad	IN	-
1255175	Talaja	IN	-
1273287	Delvada	IN	-
1272502	Diu	IN	-
498677	Saratov	RU	-
477301	Valday	RU	-
518970	Novocherkassk	RU	-
290030	Doha	QA	-
569077	Chernaya	RU	-
6697077	Kievskij	RU	-
468902	Yaroslavl	RU	-
456172	Riga	LV	-
712374	Berezhani	UA	-
515012	Orel	RU	-
554318	Kalevala	RU	-
563524	Elektrogorsk	RU	-
696743	Pokotylivka	UA	-
702417	Lyubotyn	UA	-
706483	Kharkiv	UA	-
465291	Zalegoshch	RU	-
474324	Verkhovye	RU	-
497610	Seltso	RU	-
571476	Bryansk	RU	-
464993	Zaokskiy	RU	-
501978	Revyakino	RU	-
560154	Gorelki	RU	-
480562	Tula	RU	-
462377	Zmiyevka	RU	-
561313	Glazunovka	RU	-
462169	Zolotukhino	RU	-
538560	Kursk	RU	-
578072	Belgorod	RU	-
693598	Slatino	UA	-
688696	Vysokyy	UA	-
697135	Pivdenne	UA	-
701347	Merefa	UA	-
704363	Krasnopavlivka	UA	-
698003	Panyutyne	UA	-
687700	Zaporizhzhya	UA	-
702072	Malokaterynivka	UA	-
696262	Pryshyb	UA	-
533008	Lvovskiy	RU	-
697889	Pavlohrad	UA	-
628175	Haradzishcha	BY	-
561679	Gdov	RU	-
510347	Pestravka	RU	-
145964	Yeri	CY	-
2411585	Gibraltar	GI	-
1861454	Isawa	JP	-
1852915	Sasaguri	JP	-
2112571	Ishioka	JP	-
1849796	Tsu-shi	JP	-
2111277	Rifu	JP	-
1864750	Beppu	JP	-
2014927	Tulun	RU	-
2021093	Kuytun	RU	-
2012702	Zalari	RU	-
2021116	Kutulik	RU	-
2014022	Usolye-Sibirskoye	RU	-
2027667	Angarsk	RU	-
2016764	Shelekhov	RU	-
2021343	Kultuk	RU	-
2016422	Slyudyanka	RU	-
2026979	Baykalsk	RU	-
2013225	Rechka-Vydrino	RU	-
2027276	Babushkin	RU	-
2014779	Turuntayevo	RU	-
2013986	Ust-Barguzin	RU	-
2027109	Barguzin	RU	-
2021188	Kurumkan	RU	-
577901	Beloozerskiy	RU	-
548652	Kimry	RU	-
3553478	Havana	CU	-
523523	Nalchik	RU	-
1517060	Zaysan	KZ	-
2016334	Sokol	RU	670018
577384	Bereza	RU	-
1496153	Omsk	RU	-
536206	Yubileyny	RU	-
1495797	Ovsyanka	RU	-
2019309	Neryungri	RU	-
512566	Pargolovo	RU	-
2013727	Vanavara	RU	-
535806	Leskolovo	RU	-
1497543	Nizhnevartovsk	RU	-
1503772	Khanty-Mansiysk	RU	-
2020221	Markha	RU	-
1540356	Raduzhnyy	RU	628462
2019951	Mirnyy	RU	678174
479411	Ukhta	RU	-
1498087	Nadym	RU	-
1496511	Novyy Urengoy	RU	-
2014624	Udachnyy	RU	-
1493197	Salekhard	RU	-
1486910	Vorkuta	RU	-
2126123	Chokurdakh	RU	-
2015306	Tiksi	RU	-
2022572	Khatanga	RU	-
2181133	Timaru	NZ	-
3839982	Punta Alta	AR	-
3430443	Necochea	AR	-
6241325	Rotorua	NZ	-
2158020	Merimbula	AU	-
2163055	Horsham	AU	-
2176401	Bega	AU	-
3895088	Chillan	CL	-
2149645	Shepparton	AU	-
3435038	Dolores	AR	-
2162994	Howlong	AU	-
2147756	Swan Hill	AU	-
2160774	Lake Albert	AU	-
2078025	Adelaide	AU	-
7289886	Fullarton	AU	-
2057897	Woodville	AU	-
6943474	Athelstone	AU	-
3441575	Montevideo	UY	-
2162733	Ingleburn	AU	-
3361025	Stellenbosch	ZA	-
2171586	Chipping Norton	AU	-
2208305	Dee Why	AU	-
2154219	Orange	AU	-
3441684	Mercedes	UY	-
2153778	Parkes	AU	-
3883214	Limache	CL	-
2168305	Dubbo	AU	-
1020641	Beaufort West	ZA	-
1000543	Graaff-Reinet	ZA	-
2165159	Gloucester	AU	-
2173911	Broken Hill	AU	-
2169736	Cundletown	AU	-
2171216	Cobar	AU	-
3440714	Salto	UY	-
2164206	Gunnedah	AU	-
2177671	Armidale	AU	-
2155742	Narrabri	AU	-
2171085	Coffs Harbour	AU	-
3861824	Chamical	AR	-
2162662	Inverell	AU	-
2156927	Moree	AU	-
995202	Howick	ZA	-
2167050	Evans Head	AU	-
2172153	Casino	AU	-
2160063	Lismore	AU	-
940909	Welkom	ZA	-
6943556	Taigum	AU	-
2173605	Buderim	AU	-
1017780	Boksburg	ZA	-
3458147	Mafra	BR	-
982899	Lichtenburg	ZA	-
980921	Mabopane	ZA	-
3453535	Piraquara	BR	-
933726	Hukuntsi	BW	-
2077895	Alice Springs	AU	-
3471393	Aruja	BR	-
6354929	Tom Price	AU	-
7262440	Valencia West	US	-
5495380	Tularosa	US	-
6051123	Leamington	CA	-
5920450	Chatham-Kent	CA	-
6165719	Thorold	CA	-
6176823	Waterloo	CA	N2J 2N8
5991370	Keswick	CA	-
6150174	Smiths Falls	CA	-
5978683	Huntingdon	CA	-
6138495	Saint-Jean-sur-Richelieu	CA	-
6122037	Richelieu	CA	-
5923101	Clarence-Rockland	CA	-
6138374	Saint-Hyacinthe	CA	-
6137702	Sainte-Agathe-des-Monts	CA	-
6076211	Moncton	CA	-
6137631	Saint-Come--Liniere	CA	-
6945991	Plessisville	CA	-
5897209	Becancour	CA	-
6945989	Sainte-Marie	CA	-
7535681	Saint-Augustin-de-Desmaures	CA	-
7535692	La Pocatiere	CA	-
7302644	Tracadie-Sheila	CA	-
6137270	Saguenay	CA	-
6354895	Rimouski	CA	-
6166142	Thunder Bay	CA	-
6122085	Richmond	CA	V6X 2E3
6085772	Nanaimo	CA	-
6173331	Vancouver	CA	-
6111632	Port Alberni	CA	-
6078447	Morden	CA	-
5911606	Burnaby	CA	-
6098642	Parksville	CA	-
7281936	West Kelowna	CA	-
6111529	Portage la Prairie	CA	-
6144054	Selkirk	CA	-
5887048	Armstrong	CA	-
5933070	Crossfield	CA	-
5946820	Edson	CA	-
5946768	Edmonton	CA	-
964420	Port Elizabeth	ZA	-
3453639	Pirassununga	BR	-
933186	Orapa	BW	-
2065594	Mount Isa	AU	-
3353715	Outjo	NA	-
2060436	Tennant Creek	AU	-
3352593	Tsumeb	NA	-
882100	Rusape	ZW	-
3934707	Mollendo	PE	-
2064735	Nhulunbuy	AU	-
158876	Itumba	TZ	-
155334	Magole	TZ	-
3573650	Tabaquite	TT	-
3645213	Coro	VE	-
1259434	Polur	IN	-
1268189	Kanakapura	IN	-
1609350	Bangkok	TH	-
3600328	Villa Nueva	HN	-
1608057	Pak Chong	TH	-
2455290	Kidal	ML	-
2446796	Bilma	NE	-
3495694	Otra Banda	DO	-
3515302	Toluca	MX	-
3530139	Coyoacan	MX	-
1257896	Sadabad	IN	-
6354970	Puerto Rico	ES	-
2521692	Arafo	ES	-
1860112	Kanoya	JP	-
1790100	Xiaolingwei	CN	-
2467783	Remada	TN	-
2263491	Santana	PT	-
1864572	Chikushino-shi	JP	-
1849299	Umi	JP	-
1848087	Yukuhashi	JP	-
1168197	Peshawar	PK	-
5301442	Lake of the Woods	US	85929
1851426	Sumoto	JP	-
1857334	Mihara	JP	-
4190542	Dahlonega	US	-
1850034	Tondabayashi	JP	-
5322400	Adelanto	US	-
1851717	Shizuoka-shi	JP	-
1855416	Niimi	JP	-
1854902	Numazu	JP	-
1856057	Nagoya-shi	JP	-
146268	Nicosia	CY	-
1861602	Inazawa	JP	-
1855380	Ninomiya	JP	-
1861449	Isehara	JP	-
1861864	Iida	JP	-
1859642	Kawasaki	JP	210-0834
1862599	Hino	JP	1920022
1855503	Nerima	JP	-
1852502	Shiki	JP	-
1851604	Soka	JP	-
1907125	Kamifukuoka	JP	-
2563232	Attard	MT	-
2563191	Birkirkara	MT	-
6822108	Inashiki	JP	-
1854022	Ono	JP	912-8666
1852347	Shimodate	JP	-
2112232	Kitaibaraki	JP	-
2513509	Moron de la Frontera	ES	-
2110959	Sukagawa	JP	-
2525593	Barrafranca	IT	-
2523619	Ribera	IT	-
2524179	Menfi	IT	-
2523850	Pedara	IT	-
2524205	Mazara del Vallo	IT	-
251280	Zakynthos	GR	-
2521694	Aracena	ES	-
260172	Khalandrion	GR	-
262135	Galatsi	GR	-
257365	Megara	GR	-
262752	Elefsina	GR	-
257302	Melissia	GR	-
2525729	Altofonte	IT	-
257811	Mandra	GR	-
2524070	Montelepre	IT	-
2523630	Reggio Calabria	IT	-
2525597	Barcellona-Pozzo di Gotto	IT	-
262609	Erythres	GR	-
2524170	Messina	IT	-
2511102	Santa Pola	ES	-
2518559	Elche	ES	-
2523738	Polistena	IT	-
252190	Vasilikon	GR	-
2518505	Elda	ES	-
265560	Agrinio	GR	-
2512177	Puertollano	ES	-
2271140	Barcarena	PT	-
4270936	Ellis	US	-
2525473	Cagliari	IT	-
2524084	Monserrato	IT	-
2519880	Casas Ibanez	ES	-
2524844	Dolianova	IT	-
5445194	Colby	US	-
2524352	Luzzi	IT	-
315985	Edremit	TR	-
2111834	Morioka-shi	JP	-
258576	Larisa	GR	-
3181670	Botrugno	IT	-
616417	Metsamor	AM	-
3125144	Chinchon	ES	-
3116157	Morata de Tajuna	ES	-
3165084	Tursi	IT	-
735563	Kozani	GR	-
3165851	Teggiano	IT	-
3118155	Loeches	ES	-
3117735	Madrid	ES	-
3170350	Pomarico	IT	-
736638	Agia Trias	GR	-
736083	Kalamaria	GR	-
735764	Chortiatis	GR	-
734077	Thessaloniki	GR	-
3170027	Potenza	IT	-
736450	Nea Ionia	GR	57008
2129211	Misawa	JP	-
4902065	Metamora	US	-
734924	Nigrita	GR	-
735861	Kavala	GR	-
3164219	Villa Literno	IT	-
3166056	Sturno	IT	-
5106014	Wanaque	US	-
734330	Serres	GR	-
735640	Komotini	GR	-
733840	Xanthi	GR	-
5160041	Lagrange	US	44050
3106492	Valls	ES	-
6534279	Piedimonte Matese	IT	-
3120619	LHospitalet de Llobregat	ES	-
3128760	Barcelona	ES	-
3110921	Sant Adria de Besos	ES	-
3176885	Foggia	IT	-
734880	Orestiada	GR	-
3122912	Esparreguera	ES	-
3108286	Terrassa	ES	-
3118514	Lleida	ES	-
3108681	Soria	ES	-
3128978	Balaguer	ES	-
3172074	Olevano Romano	IT	-
3110983	Salt	ES	-
3114531	Palencia	ES	-
3123688	Ejea de los Caballeros	ES	-
3176772	Forano	IT	-
4905572	Pecatonica	US	-
3126373	O Carballino	ES	-
3170590	Pizzoli	IT	-
3113236	Ponferrada	ES	-
3118532	Leon	ES	-
3106313	Vega de Espinareda	ES	-
2130452	Chitose	JP	-
3127850	Bonar	ES	-
3109642	Santiago de Compostela	ES	-
3106090	Bergara	ES	-
3118228	Llodio	ES	-
3165381	Torrita di Siena	IT	-
2990919	Narbonne	FR	-
3109453	Barakaldo	ES	-
3127224	Cabezon de la Sal	ES	-
3109041	Sestao	ES	-
3028652	Carbonne	FR	-
5260694	Lodi	US	53555
2995469	Marseille	FR	-
4853059	Cresco	US	-
3118304	Llanes	ES	-
3108534	Suances	ES	-
3038493	Aigues-Mortes	FR	-
3170798	Pietra la Croce	IT	-
3170321	Ponsacco	IT	-
3176959	Firenze	IT	-
3183147	Altopascio	IT	-
3173008	Montecarlo	IT	-
3172828	Montemurlo	IT	-
3000329	Les Mees	FR	-
3028322	Castelsarrasin	FR	-
3167373	SantArcangelo di Romagna	IT	-
5763011	Box Elder	US	-
3179523	Castelnuovo di Garfagnana	IT	-
3181832	Borghetto Santo Spirito	IT	-
3174649	Loano	IT	-
3179830	Casola Valsenio	IT	-
3166228	Spotorno	IT	-
3164988	Vado Ligure	IT	-
3169670	Quiliano	IT	-
5237056	Hinesburg	US	-
5819881	Buffalo	US	82834
673382	Mihail Kogalniceanu	RO	907195
3182244	Beinette	IT	-
5769489	Sturgis	US	57785
5821593	Cody	US	-
3176467	Fusignano	IT	-
5272776	Seymour	US	54165
5027765	Gaylord	US	55334
